                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     81,                0.59605,                 0.2773,                0.81637,                  0.972,                 0.9762,                0.99244,                 0.7678,                0.80275,                 0.3324,                0.83851,             0.00029723,             0.00029723,             0.00029723
                     82,                0.60064,                0.27657,                0.81909,                0.97082,                0.97772,                0.99264,                0.77399,                0.79405,                0.32656,                0.83487,             0.00028308,             0.00028308,             0.00028308
                     83,                0.58757,                0.27477,                0.81217,                0.96987,                0.98301,                0.99024,                0.77134,                0.78957,                0.32825,                0.83541,             0.00026894,             0.00026894,             0.00026894
                     84,                0.58307,                0.26934,                0.81412,                0.97573,                 0.9725,                0.99207,                0.77958,                0.78334,                0.32511,                0.83303,             0.00025479,             0.00025479,             0.00025479
                     85,                0.58402,                0.26884,                0.81108,                0.97202,                 0.9785,                 0.9912,                0.76923,                0.78456,                0.32659,                0.83335,             0.00024064,             0.00024064,             0.00024064
                     86,                0.59004,                0.27218,                0.81426,                 0.9694,                0.98377,                0.99206,                0.77952,                0.78072,                 0.3231,                0.83227,              0.0002265,              0.0002265,              0.0002265
                     87,                0.56825,                0.26299,                0.81229,                0.97258,                0.98451,                0.99332,                0.77951,                0.78341,                 0.3215,                0.83412,             0.00021235,             0.00021235,             0.00021235
                     88,                0.57393,                 0.2637,                0.80896,                0.97819,                0.97297,                0.99146,                0.78016,                0.77885,                0.32325,                0.83331,              0.0001982,              0.0001982,              0.0001982
                     89,                0.56909,                0.26292,                  0.811,                0.97474,                0.97657,                0.99275,                0.78281,                0.77256,                0.31726,                0.83167,             0.00018406,             0.00018406,             0.00018406
                     90,                0.56387,                0.26172,                0.80378,                0.98187,                0.96887,                0.99246,                0.78429,                0.77251,                 0.3198,                0.83192,             0.00016991,             0.00016991,             0.00016991
