                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     90,                    nan,                    nan,                    nan,                0.89493,                0.87898,                0.91586,                0.65076,                    nan,                    nan,                    nan,             0.00016991,             0.00016991,             0.00016991
                     91,                    nan,                    nan,                    nan,                0.89493,                0.87898,                0.91586,                0.65076,                    nan,                    nan,                    nan,             0.00015576,             0.00015576,             0.00015576
                     92,                    nan,                    nan,                    nan,                0.89493,                0.87898,                0.91586,                0.65076,                    nan,                    nan,                    nan,             0.00014161,             0.00014161,             0.00014161
                     93,                    nan,                    nan,                    nan,                0.89493,                0.87898,                0.91586,                0.65076,                    nan,                    nan,                    nan,             0.00012747,             0.00012747,             0.00012747
                     94,                    nan,                    nan,                    nan,                0.89493,                0.87898,                0.91586,                0.65076,                    nan,                    nan,                    nan,             0.00011332,             0.00011332,             0.00011332
                     95,                    nan,                    nan,                    nan,                0.89493,                0.87898,                0.91586,                0.65076,                    nan,                    nan,                    nan,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     96,                    nan,                    nan,                    nan,                0.89493,                0.87898,                0.91586,                0.65076,                    nan,                    nan,                    nan,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     97,                    nan,                    nan,                    nan,                0.89493,                0.87898,                0.91586,                0.65076,                    nan,                    nan,                    nan,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     98,                    nan,                    nan,                    nan,                0.89493,                0.87898,                0.91586,                0.65076,                    nan,                    nan,                    nan,             5.6731e-05,             5.6731e-05,             5.6731e-05
                     99,                    nan,                    nan,                    nan,                0.89493,                0.87898,                0.91586,                0.65076,                    nan,                    nan,                    nan,             4.2584e-05,             4.2584e-05,             4.2584e-05
                    100,                    nan,                    nan,                    nan,                0.89493,                0.87898,                0.91586,                0.65076,                    nan,                    nan,                    nan,             2.8437e-05,             2.8437e-05,             2.8437e-05
