                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     63,                0.72487,                0.35838,                0.83228,                 0.9611,                0.96362,                0.98957,                0.74155,                0.88815,                0.38807,                0.84177,             0.00055188,             0.00055188,             0.00055188
                     64,                0.72769,                0.35947,                0.83268,                0.94964,                0.97344,                0.98852,                0.73933,                0.89035,                0.39596,                0.84396,             0.00053773,             0.00053773,             0.00053773
                     65,                0.71246,                0.35442,                0.82884,                0.96932,                0.96399,                0.98813,                 0.7506,                0.87312,                0.39199,                0.83954,             0.00052359,             0.00052359,             0.00052359
                     66,                0.72945,                0.35443,                0.82999,                0.96498,                0.97384,                 0.9889,                0.75317,                0.87102,                0.38504,                0.83913,             0.00050944,             0.00050944,             0.00050944
                     67,                0.72074,                0.35619,                0.82784,                0.96227,                0.96232,                0.98973,                0.75159,                0.88869,                0.39816,                0.84232,             0.00049529,             0.00049529,             0.00049529
                     68,                0.70513,                0.34614,                 0.8258,                0.96622,                0.96274,                0.99041,                 0.7502,                0.87498,                0.38619,                0.83986,             0.00048114,             0.00048114,             0.00048114
                     69,                0.71164,                0.34199,                0.83026,                0.95919,                0.97524,                0.98941,                0.74474,                0.87379,                0.39029,                0.83947,               0.000467,               0.000467,               0.000467
                     70,                0.69384,                0.34072,                0.82784,                0.95576,                 0.9783,                 0.9893,                0.74607,                0.88086,                0.39305,                0.84143,             0.00045285,             0.00045285,             0.00045285
                     71,                0.70816,                 0.3447,                0.82922,                 0.9638,                0.96799,                0.98821,                0.74667,                0.87894,                0.38287,                0.84066,              0.0004387,              0.0004387,              0.0004387
                     72,                0.69531,                0.34187,                0.82739,                0.96592,                0.96955,                0.98878,                0.75019,                 0.8704,                 0.3888,                0.84092,             0.00042456,             0.00042456,             0.00042456
                     73,                0.69083,                0.33924,                0.82434,                0.96906,                 0.9727,                0.99045,                0.75545,                0.86636,                0.38755,                0.83966,             0.00041041,             0.00041041,             0.00041041
                     74,                0.69386,                0.33589,                0.82816,                0.96695,                0.97559,                0.98885,                0.74937,                0.86912,                0.38303,                0.84083,             0.00039626,             0.00039626,             0.00039626
                     75,                0.67235,                0.32648,                0.81768,                0.96719,                0.96198,                0.98611,                0.75522,                 0.8499,                0.37901,                0.83606,             0.00038211,             0.00038211,             0.00038211
                     76,                0.67879,                0.33038,                0.82074,                0.95411,                0.97119,                0.98679,                  0.754,                0.85153,                0.38098,                0.83699,             0.00036797,             0.00036797,             0.00036797
                     77,                0.68733,                0.33569,                0.82357,                 0.9679,                0.96415,                0.98884,                0.76123,                0.84855,                0.37515,                0.83508,             0.00035382,             0.00035382,             0.00035382
                     78,                0.66896,                0.32696,                0.82148,                  0.977,                0.96651,                0.99083,                0.75339,                0.85263,                0.36909,                0.83655,             0.00033967,             0.00033967,             0.00033967
                     79,                0.66942,                0.33056,                0.82042,                0.97414,                0.97224,                0.99097,                0.75241,                0.84711,                0.37541,                0.83613,             0.00032553,             0.00032553,             0.00032553
                     80,                0.66459,                0.32535,                 0.8229,                0.97809,                0.96711,                0.99032,                0.75477,                 0.8483,                0.37645,                0.83608,             0.00031138,             0.00031138,             0.00031138
                     81,                0.66454,                0.32314,                0.82136,                0.97159,                 0.9721,                0.98975,                0.75395,                0.85543,                0.37217,                 0.8356,             0.00029723,             0.00029723,             0.00029723
                     82,                0.66729,                0.32096,                0.82402,                0.96945,                0.97216,                0.98928,                0.75756,                0.84205,                0.36959,                 0.8349,             0.00028308,             0.00028308,             0.00028308
                     83,                 0.6584,                0.32193,                0.81937,                0.96622,                  0.979,                0.98846,                  0.749,                  0.856,                0.36731,                0.83867,             0.00026894,             0.00026894,             0.00026894
                     84,                0.65302,                0.31816,                0.81973,                0.97142,                0.97178,                0.98948,                0.76025,                0.83471,                0.36754,                0.83532,             0.00025479,             0.00025479,             0.00025479
                     85,                0.64803,                0.31504,                0.81627,                0.97311,                0.97385,                0.99014,                 0.7618,                0.82743,                0.36481,                0.83429,             0.00024064,             0.00024064,             0.00024064
                     86,                 0.6601,                 0.3168,                0.81995,                0.96624,                0.98102,                0.98969,                0.76515,                0.82971,                0.36362,                0.83588,              0.0002265,              0.0002265,              0.0002265
                     87,                0.63501,                0.31038,                 0.8177,                0.96917,                0.98038,                0.99099,                 0.7676,                0.82756,                0.36344,                0.83279,             0.00021235,             0.00021235,             0.00021235
                     88,                0.64708,                0.31061,                  0.816,                0.97242,                0.98123,                0.98937,                0.77046,                0.80896,                0.35799,                0.83014,              0.0001982,              0.0001982,              0.0001982
                     89,                0.63569,                 0.3072,                0.81719,                0.97386,                0.97612,                0.98945,                0.76488,                0.82258,                0.36039,                0.83313,             0.00018406,             0.00018406,             0.00018406
                     90,                0.63824,                0.30824,                 0.8118,                0.96928,                0.98173,                0.99025,                0.76121,                0.81476,                0.35914,                0.83142,             0.00016991,             0.00016991,             0.00016991
                     91,                0.63527,                0.30239,                0.81783,                0.97448,                0.96893,                 0.9903,                0.76466,                0.82255,                0.36615,                0.83137,             0.00015576,             0.00015576,             0.00015576
                     92,                0.63231,                 0.2982,                0.81975,                0.97793,                0.96968,                0.99025,                0.76492,                0.82296,                0.36468,                0.83112,             0.00014161,             0.00014161,             0.00014161
                     93,                0.61734,                0.28927,                 0.8184,                0.97648,                 0.9748,                0.99084,                0.76659,                 0.8251,                0.35937,                0.83178,             0.00012747,             0.00012747,             0.00012747
                     94,                0.62576,                0.29187,                0.81618,                0.97756,                0.96328,                0.99044,                0.76567,                0.82297,                0.36406,                0.83123,             0.00011332,             0.00011332,             0.00011332
                     95,                0.61315,                0.28982,                0.81628,                0.97154,                0.97578,                0.99008,                0.76663,                0.81758,                0.36198,                 0.8298,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     96,                 0.6068,                0.28437,                 0.8135,                 0.9712,                0.97723,                0.98971,                0.76849,                0.82044,                0.36248,                0.83084,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     97,                 0.5998,                0.28241,                0.81343,                0.97318,                0.97688,                0.98974,                0.77021,                0.80804,                0.35736,                0.82978,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     98,                0.60429,                0.28302,                0.81506,                0.97003,                0.97834,                 0.9899,                0.77333,                0.81112,                0.35878,                0.82999,             5.6731e-05,             5.6731e-05,             5.6731e-05
                     99,                0.59419,                0.28123,                0.81185,                 0.9726,                0.97518,                0.98955,                0.77314,                0.80938,                0.35749,                0.82963,             4.2584e-05,             4.2584e-05,             4.2584e-05
                    100,                0.59744,                 0.2791,                0.81308,                0.97443,                0.97373,                0.98986,                0.77268,                 0.8095,                0.35937,                0.82973,             2.8437e-05,             2.8437e-05,             2.8437e-05
